Epoch	Time(sec)	RMSE_train	R2_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	87.339353462914	1.318563959366478	0.22964536190273244	0.8731289177119191	0.8836805919721272	1.1668533913620671	1.2052820015103247	0.38933730887531515	0.3561491353781451
2	168.03744155494496	1.0666859853867892	0.49584801876954165	0.7990591536896069	0.8071986157439208	1.061829447212934	1.098963100646643	0.4943170251512128	0.4647284489807775
3	247.0178421428427	0.9903642215256941	0.5654115452814266	0.7808102395204397	0.8094177554245974	1.041697618709004	1.0950820615176828	0.5133103120426086	0.46850244575709143
4	325.87990767881274	0.9490210502510916	0.6009383525242599	0.7646348764509223	0.7788259896268839	1.0280388178562196	1.0728576746369067	0.5259896453925901	0.4898567258543547
5	404.3630268848501	0.9206153669637437	0.6244699114376949	0.7401659559213342	0.7559317886111656	1.0100208196697513	1.0611489287590337	0.5424595934200684	0.5009309696460538
6	483.0451415369753	0.9005230267735163	0.6406828513453395	0.7835001603422816	0.7952270513510153	1.0333532595558048	1.0794756663391138	0.5210761896176731	0.48354361097549925
7	562.7992775079329	0.8790549386596566	0.6576105799971593	0.7578151562195319	0.7608461891389047	1.0218344693953103	1.0566366583209537	0.5316938093380602	0.5051662781448532
8	643.589036163874	0.8622364710095041	0.6705867396902347	0.755027030782292	0.7716788535148071	1.0185942383252455	1.0732895094403025	0.5346590927558825	0.4894459687491316
9	722.9675143449567	0.8504185193773662	0.6795548386612391	0.7496460139900153	0.7625493715997659	1.0352857146909311	1.0878385955109704	0.5192832613090712	0.4755104171062663
10	801.2840631038416	0.8018958420148607	0.7150791554050613	0.7256225825566569	0.743125745413495	1.0109310563106453	1.0687706126730896	0.5416345456641065	0.4937361142045301
11	877.0674619518686	0.7868231023133386	0.7256894532012164	0.7297273487218495	0.7467296318975432	1.0133294852366341	1.06868660723635	0.5394570261053591	0.49381569582277385
12	955.731570957927	0.7782999655511854	0.7316001168954169	0.7177532737766503	0.7327345962216021	1.000927183017845	1.0561088120436348	0.550661356884492	0.5056605462458639
13	1034.3093095419463	0.7668485207041975	0.7394401664261248	0.7267427144681594	0.7410185162326876	1.0128103522377607	1.0595412286358312	0.5399287814761404	0.5024420592107861
14	1115.5884563508444	0.7581838882873916	0.7452950399266515	0.7165861319896875	0.7303320838362549	0.9962458189368989	1.0456861283498904	0.5548546662765832	0.5153696209116403
15	1197.6604284248315	0.7520017808433195	0.7494317510431174	0.7253829828351702	0.7427458402618872	1.017663336921033	1.0822710920121343	0.5355092616286248	0.4808653018165777
16	1277.0698907098267	0.742630997942422	0.7556375639575081	0.7169058204883553	0.7306368249813412	0.988853139846236	1.0473329979264392	0.5614365895834899	0.513841912941587
