Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	917.603640436	261044.04565705964	0.8862156676296183	0.8794056808957902	1.1846532740778888	1.19944021818057	0.37056437473541004	0.3623752670645096
2	1832.0913643840001	171789.98493717905	0.8110564332186639	0.8073776073255702	1.0732345062126136	1.096386428110766	0.48339565249277605	0.46723554429184044
3	2739.3396461889997	147247.11019993314	0.7834136795128636	0.7982479105419377	1.0473172414612637	1.0919010916597631	0.5080450802717191	0.47158572551769273
4	3668.7610015259997	134860.01258945366	0.7701261369532111	0.7835043678559995	1.0311147562126808	1.0805017787721398	0.5231488813156981	0.4825612929651969
5	4590.57737598	126783.73720305758	0.7471033733322521	0.7591388512369616	1.017964549806452	1.0679085067132932	0.5352342565337496	0.49455252341188405
6	5486.328247944	121368.7420293146	0.7876461653639226	0.7940148730501003	1.0404028740590956	1.0801789269952393	0.5145193908633483	0.48287046607584627
7	6409.128368826	115718.59543621211	0.7546960878682485	0.7542303365370246	1.0167225273631793	1.0485889791409426	0.5363676895834695	0.5126751941414995
8	7334.943388557001	110661.08659687727	0.7659351073523918	0.7771681094195358	1.0317176380260293	1.079930482057895	0.5225910987603297	0.4831083219277321
9	8246.989718334999	107112.75432417147	0.761801699986478	0.7731692624792436	1.0468777820697142	1.1070500899668783	0.5084578469923792	0.45682160962677454
10	9136.282708658999	94520.7548720417	0.7208304718824007	0.7415437723319545	1.0075027429387038	1.0669834166768213	0.5447381319510405	0.49542784540057594
11	10036.525725696	90671.57029955478	0.7290971202558887	0.7392698691242436	1.0163324378336638	1.0690819008709118	0.5367233882322877	0.4934411642479526
12	10935.163137279	88385.85723004513	0.7266992845567478	0.733643591458403	1.0134273301560135	1.0623439527940137	0.5393680837300648	0.4998062730252609
13	11843.745709363999	85780.40643635497	0.7435171610304457	0.7507033425489889	1.0370740734486417	1.0776646276825008	0.5176210409235582	0.48527507731206043
14	12752.039272138	83720.3765649857	0.7200314409145699	0.7335210461752695	1.0003079835903206	1.0547745120929775	0.5512171299219211	0.5069088654151952
15	13647.997076513999	82570.36983193427	0.735838192504358	0.753119632867642	1.0297391722356348	1.1008387159565014	0.5244203425416568	0.4628997792928802
16	14546.182897441999	80114.16581829512	0.7161904480763678	0.7372156892811345	1.0002069771754418	1.0602637051771695	0.5513077573304916	0.5017632814739292
17	15432.089393471	78195.22798956417	0.7125441327290747	0.7304988261914482	0.9940026412978309	1.0557308796011968	0.556857015231178	0.5060142853429515
18	16312.493044113	76632.33268738992	0.7204113525916128	0.7351261240645532	1.0159091874537134	1.0791909073100432	0.5371091698242199	0.4838160510628101
