sce:YNL130C	ec:2.7.8.2
sce:YNL141W	ec:3.5.4.4
sce:YNL169C	ec:4.1.1.65
sce:YNL192W	ec:2.4.1.16
sce:YNL220W	ec:6.3.4.4
sce:YNL241C	ec:1.1.1.49
sce:YNL241C	ec:1.1.1.363
sce:YNL247W	ec:6.1.1.16
sce:YPL097W	ec:6.1.1.1
sce:YPL104W	ec:6.1.1.12
sce:YPL117C	ec:5.3.3.2
sce:YPL154C	ec:3.4.23.25
sce:YPL160W	ec:6.1.1.4
sce:YPL172C	ec:2.5.1.141
sce:YPL262W	ec:4.2.1.2
sce:YPR006C	ec:4.1.3.1
sce:YPR010C	ec:2.7.7.6
sce:YPR026W	ec:3.2.1.28
sce:YPR033C	ec:6.1.1.21
sce:YPR035W	ec:6.3.1.2
sce:YPR047W	ec:6.1.1.20
sce:YPR060C	ec:5.4.99.5
sce:YPR069C	ec:2.5.1.16
sce:YPR081C	ec:6.1.1.14
sce:YPR088C	ec:3.6.5.4
sce:YPR103W	ec:3.4.25.1
sce:YPR145W	ec:6.3.5.4
sce:YPR160W	ec:2.4.1.1
sce:YPR183W	ec:2.4.1.83
sce:YHR074W	ec:6.3.5.1
sce:YMR293C	ec:6.3.5.6
sce:YMR293C	ec:6.3.5.7
sce:YGL008C	ec:7.1.2.1
sce:YGL012W	ec:1.3.1.71
sce:YHR113W	ec:3.4.11.21
sce:YDR093W	ec:7.6.2.1
sce:YDR039C	ec:7.2.2.3
sce:YNR034W	ec:3.1.1.31
sce:YER183C	ec:6.3.3.2
sce:YNL280C	ec:1.3.1.70
sce:YHR063C	ec:1.1.1.169
sce:YDR009W	ec:2.7.1.6
sce:YNR012W	ec:2.7.1.48
sce:YNR019W	ec:2.3.1.26
sce:YNR028W	ec:5.2.1.8
sce:YNR043W	ec:4.1.1.33
sce:YNR057C	ec:6.3.3.3
sce:YNR058W	ec:2.6.1.62
sce:YOL006C	ec:5.6.2.1
sce:YOL033W	ec:6.1.1.17
sce:YOL038W	ec:3.4.25.1
sce:YMR300C	ec:2.4.2.14
sce:YOL052C	ec:4.1.1.50
sce:YOL057W	ec:3.4.14.4
sce:YOL058W	ec:6.3.4.5
sce:YOL059W	ec:1.1.1.8
sce:YOL061W	ec:2.7.6.1
sce:YOL096C	ec:2.1.1.114
sce:YOL096C	ec:2.1.1.64
sce:YMR306W	ec:2.4.1.34
sce:YMR314W	ec:3.4.25.1
sce:YOL136C	ec:2.7.1.105
sce:YOL140W	ec:2.6.1.11
sce:YMR323W	ec:4.2.1.11
sce:YOR040W	ec:3.1.2.6
sce:YNL009W	ec:1.1.1.42
sce:YOR095C	ec:5.3.1.6
sce:YOR116C	ec:2.7.7.6
sce:YOR136W	ec:1.1.1.41
sce:YOR143C	ec:2.7.6.2
sce:YOR151C	ec:2.7.7.6
sce:YOR157C	ec:3.4.25.1
sce:YOR168W	ec:6.1.1.18
sce:YOR176W	ec:4.99.1.1
sce:YOR176W	ec:4.99.1.9
sce:YOR190W	ec:3.2.1.58
sce:YOR202W	ec:4.2.1.19
sce:YOR207C	ec:2.7.7.6
sce:YOR209C	ec:6.3.4.21
sce:YNL037C	ec:1.1.1.41
sce:YOR241W	ec:6.3.2.17
sce:YHR062C	ec:3.1.26.5
sce:YAL033W	ec:3.1.26.5
sce:YIR015W	ec:3.1.26.5
sce:YMR281W	ec:3.5.1.89
sce:YMR234W	ec:3.1.26.4
sce:YNL102W	ec:2.7.7.7
sce:YDL102W	ec:2.7.7.7
sce:YNL262W	ec:2.7.7.7
sce:YPR175W	ec:2.7.7.7
sce:YOR330C	ec:2.7.7.7
sce:YPL167C	ec:2.7.7.7
sce:YDR419W	ec:2.7.7.7
sce:YOL115W	ec:2.7.7.19
sce:YEL055C	ec:2.7.7.7
sce:YIL139C	ec:2.7.7.7
sce:YPL086C	ec:2.3.1.48
sce:YML021C	ec:3.2.2.27
sce:YMR239C	ec:3.1.26.3
sce:YHR007C	ec:1.14.14.154
sce:YHR007C	ec:1.14.15.36
sce:YDL205C	ec:2.5.1.61
sce:YDR256C	ec:1.11.1.6
sce:YLR209C	ec:2.4.2.1
sce:YBR110W	ec:2.4.1.142
sce:YGL065C	ec:2.4.1.132
sce:YGL065C	ec:2.4.1.257
sce:YNL048W	ec:2.4.1.131
sce:YBL082C	ec:2.4.1.258
sce:YNL219C	ec:2.4.1.259
sce:YNL219C	ec:2.4.1.261
sce:YNR030W	ec:2.4.1.260
sce:YOR002W	ec:2.4.1.267
sce:YOR067C	ec:2.4.1.265
sce:YGR227W	ec:2.4.1.256
sce:YPL175W	ec:2.4.1.198
sce:YJL045W	ec:1.3.5.1
sce:YKL148C	ec:1.3.5.1
sce:YLL041C	ec:1.3.5.1
sce:YEL024W	ec:7.1.1.8
sce:YGR194C	ec:2.7.1.17
sce:YDR294C	ec:4.1.2.27
sce:YHR068W	ec:2.5.1.46
sce:YPL036W	ec:7.1.2.1
sce:YJR121W	ec:7.1.2.2
sce:YOR356W	ec:1.5.5.1
sce:YOR360C	ec:3.1.4.17
sce:YOR362C	ec:3.4.25.1
sce:YOR368W	ec:3.1.11.2
sce:YDL185W	ec:7.1.2.2
sce:YNL045W	ec:3.3.2.6
sce:YOR274W	ec:2.5.1.75
sce:YOR278W	ec:4.2.1.75
sce:YOR303W	ec:6.3.5.5
sce:YOR317W	ec:6.2.1.3
sce:YOR321W	ec:2.4.1.109
sce:YOR323C	ec:1.2.1.41
sce:YOR335C	ec:6.1.1.7
sce:YOR341W	ec:2.7.7.6
sce:YNL071W	ec:2.3.1.12
sce:YNL088W	ec:5.6.2.2
sce:YNR008W	ec:2.3.1.158
sce:YPL091W	ec:1.8.1.7
sce:YDR353W	ec:1.8.1.9
sce:YHR106W	ec:1.8.1.9
sce:YPR167C	ec:1.8.4.8
sce:YPR167C	ec:1.8.4.10
sce:YOR374W	ec:1.2.1.3
sce:YCR053W	ec:4.2.3.1
sce:YOR375C	ec:1.4.1.4
sce:YER086W	ec:4.3.1.19
sce:YGL148W	ec:4.2.3.5
sce:YOR377W	ec:2.3.1.84
sce:YOR386W	ec:4.1.99.3
sce:YGL055W	ec:1.14.19.1
sce:YNL239W	ec:3.4.22.40
sce:YBR257W	ec:3.1.26.5
sce:YPR002W	ec:4.2.1.79
sce:YCR073W-A	ec:3.1.1.31
sce:YJR019C	ec:3.1.2.2
sce:YBR249C	ec:2.5.1.54
sce:YDR035W	ec:2.5.1.54
sce:YNL104C	ec:2.3.3.13
sce:YMR108W	ec:2.2.1.6
sce:YCL009C	ec:2.2.1.6
sce:YIR031C	ec:2.3.3.9
sce:YNL117W	ec:2.3.3.9
sce:YDL131W	ec:2.3.3.14
sce:YDL182W	ec:2.3.3.14
sce:YML126C	ec:2.3.3.10
sce:YCR005C	ec:2.3.3.1
sce:YNR001C	ec:2.3.3.1
sce:YPR001W	ec:2.3.3.1
sce:YGR012W	ec:2.5.1.47
sce:YJR130C	ec:2.5.1.48
sce:YPL040C	ec:6.1.1.5
sce:YPL061W	ec:1.2.1.3
sce:YML082W	ec:2.5.1.48
sce:YLR433C	ec:3.1.3.16
sce:YML057W	ec:3.1.3.16
sce:YML091C	ec:3.1.26.5
sce:YGL202W	ec:2.6.1.57
sce:YGL202W	ec:2.6.1.39
sce:YGL202W	ec:2.6.1.27
sce:YGL202W	ec:2.6.1.5
sce:YHR137W	ec:2.6.1.58
sce:YHR137W	ec:2.6.1.28
sce:YPL212C	ec:5.4.99.12
sce:YNL330C	ec:3.5.1.98
sce:YJL097W	ec:4.2.1.134
sce:Q0045	ec:7.1.1.9
sce:YCL017C	ec:2.8.1.7
sce:YLR195C	ec:2.3.1.97
sce:YLR234W	ec:5.6.2.1
sce:YLR240W	ec:2.7.1.137
sce:YLR244C	ec:3.4.11.18
sce:YLR245C	ec:3.5.4.5
sce:YLR258W	ec:2.4.1.11
sce:YLR286C	ec:3.2.1.14
sce:YLR299W	ec:2.3.2.2
sce:YLR299W	ec:3.4.19.13
sce:YLR300W	ec:3.2.1.58
sce:YLR304C	ec:4.2.1.3
sce:YLR305C	ec:2.7.1.67
sce:YLR307W	ec:3.5.1.41
sce:YLR308W	ec:3.5.1.41
sce:YLR342W	ec:2.4.1.34
sce:YLR354C	ec:2.2.1.2
sce:YLR355C	ec:1.1.1.86
sce:YLR359W	ec:4.3.2.2
sce:YLR382C	ec:6.1.1.4
sce:YLR432W	ec:1.1.1.205
sce:YLR450W	ec:1.1.1.34
sce:YML004C	ec:4.4.1.5
sce:YML008C	ec:2.1.1.41
sce:YML035C	ec:3.5.4.6
sce:YML042W	ec:2.3.1.7
sce:YML054C	ec:1.1.2.3
sce:YML056C	ec:1.1.1.205
sce:YML070W	ec:2.7.1.28
sce:YML070W	ec:2.7.1.29
sce:YML070W	ec:4.6.1.15
sce:YML075C	ec:1.1.1.34
sce:YML092C	ec:3.4.25.1
sce:YML106W	ec:2.4.2.10
sce:YMR105C	ec:5.4.2.2
sce:YMR169C	ec:1.2.1.5
sce:YMR170C	ec:1.2.1.5
sce:YMR205C	ec:2.7.1.11
sce:YMR208W	ec:2.7.1.36
sce:YMR217W	ec:6.3.5.2
sce:YMR246W	ec:6.2.1.3
sce:YMR267W	ec:3.6.1.1
sce:YMR271C	ec:2.4.2.10
sce:YLR377C	ec:3.1.3.11
sce:YGL125W	ec:1.5.1.20
sce:YGL130W	ec:2.7.7.50
sce:YGL156W	ec:3.2.1.24
sce:YGL167C	ec:7.2.2.10
sce:YGL201C	ec:3.6.4.12
sce:YGL203C	ec:3.4.16.6
sce:YGL205W	ec:1.3.3.6
sce:YGL245W	ec:6.1.1.17
sce:YGL248W	ec:3.1.4.17
sce:YGL253W	ec:2.7.1.1
sce:YGR005C	ec:3.6.4.12
sce:YGR007W	ec:2.7.7.14
sce:YGR032W	ec:2.4.1.34
sce:YGR043C	ec:2.2.1.2
