pdb_id,entity_id
1g6g,1
5m5y,16
2qtv,3
5m5y,2
2qtv,2
1dmz,1
3cxh,9
3cxh,7
3cxh,5
3cxh,12
2xpy,1
3r42,1
3cxh,8
3cxh,6
3cxh,4
2b8k,7
2b8k,10
2b8k,6
2b8k,8
3cxh,3
2b8k,12
2b8k,11
2b8k,9
3jro,1
3jro,2
5frp,1
3t7g,2
3t7g,1
5jut,12
5frp,2
3r42,2
2pqr,1
1fuu,1
2pqr,2
4v7f,46
4v7f,45
1j4q,1
2rqv,1
1ifw,1
2jss,1
1nmi,1
1q14,1
2jp7,1
4q8g,1
1s2m,1
1ynx,1
5m1w,1
5jut,43
5jut,50
5jut,39
6b8h,15
5jut,44
5jut,47
5jut,36
5jut,42
5jut,52
5jut,45
5jut,53
5jut,49
5jut,41
5jut,51
5jut,48
5jut,46
5jut,37
5jut,38
5jut,40
4a3d,10
4a3d,4
4a3d,2
1o59,1
3ewe,1
5m5y,5
5m5y,15
5m5y,9
5m5y,11
5m5y,10
5m5y,8
5m5y,6
2qtv,1
3ewe,2
5m5y,3
4a3d,1
5m5y,7
5jut,64
5jut,62
5jut,61
5jut,81
5jut,78
5jut,77
5jut,76
3lgo,1
5jut,79
1t9b,1
1ofa,1
5jut,80
2k3x,1
1qde,1
5jut,31
5jut,33
5jut,28
5jut,34
5jut,30
5jut,29
2dy7,1
2cyp,1
2nvx,10
2nvx,11
5lyb,45
4j86,2
4j86,1
5lyb,60
2cgf,1
5gak,4
3gtq,10
3gtq,3
4hb4,3
3gtq,5
3gtq,7
3gtq,2
3gtq,9
3gtq,1
3c2v,1
2kzk,1
4inr,2
4inr,4
4inr,5
6nd1,5
6nd1,6
1lwm,1
2l5a,1
2ga5,1
1yws,1
1tkc,1
1u74,2
1u74,1
1mj9,1
3hye,7
3hye,14
3hye,12
3hye,5
4b2q,7
4b2q,8
3hye,4
3hye,10
3hye,13
5gak,43
5gak,44
5gak,49
5gak,46
3kep,1
3hye,8
1f89,1
1hqz,1
3f4f,1
4u8t,2
5gak,42
5gak,39
1zuu,1
5gak,45
5gak,47
1ee9,1
2ixo,1
5gak,48
1ip9,1
1f1a,1
3bwt,1
2hap,2
1u2z,1
3qt1,5
3qt1,1
2hl9,1
3key,1
1y77,6
1y77,13
1ofp,1
3rls,1
4cr4,26
4cr4,19
4cr4,24
4cr4,29
1mr3,1
4cr4,28
4cr4,22
4cr4,23
4cr4,20
4cr4,17
1fhq,1
4cr4,3
4cr4,4
4cr4,9
4cr4,10
4cr4,13
4cr4,15
4cr4,8
4cr4,7
4cr4,6
4cr4,5
4cr4,2
5ahj,8
5nzt,6
5ahj,7
5ahj,11
5ahj,2
5ahj,6
3qt1,8
3qt1,11
3qt1,12
3qt1,4
3qt1,10
1y77,7
1y77,8
1y77,12
1y77,10
1y77,5
1y77,11
1y77,4
4cr4,25
3qt1,7
3qt1,6
3qt1,2
3qt1,9
1y77,9
1y77,15
1y77,14
4cr4,11
4cr4,12
4cr4,14
4cr4,16
4cr4,1
3jc6,11
3jc6,2
4asf,1
3hgq,1
2ccn,1
3dny,1
4h67,1
2e02,1
1dfa,1
3jc6,6
3jc6,3
3jc6,5
3jc6,4
2a6y,1
3jc6,1
1pua,2
2qqf,1
3zj2,1
2ks6,1
5g5l,14
5g5l,3
5g5l,8
5g5l,7
5g5l,15
5g5l,6
5g5l,5
5g5l,1
3pym,1
2qpa,1
3g3o,1
3bq3,1
1ck2,1
5g5l,12
2b1e,1
1qcq,1
6fyy,39
6fyy,40
6fyy,41
2fz0,1
1qva,1
1hv2,1
1l3g,1
5g5l,9
1rm1,5
5g5l,11
1rm1,4
5g5l,13
5g5l,10
5g5l,4
1rm1,3
1f43,1
4e61,1
3pr6,1
1nhy,1
3pil,1
4inr,1
4inr,3
2k0n,1
1fmy,1
5lyb,31
5lyb,38
5lyb,4
2npi,1
1zyc,1
5lyb,86
1f9v,1
5lyb,1
5lyb,2
4a3g,8
4a3g,1
1zw7,1
6nd1,1
6nd1,2
1qhk,1
4a3g,12
4a3g,4
4a3g,14
4a3g,13
4a3g,9
4a3g,5
4a3g,3
4a3g,7
4a3g,10
4a3g,15
4a3g,6
4a3g,11
4a3g,2
5lyb,83
5lyb,82
5lyb,80
5lyb,56
5lyb,76
5lyb,65
5lyb,48
2nvx,4
5lyb,61
5lyb,54
5lyb,53
5lyb,57
5lyb,63
5lyb,72
5lyb,81
5lyb,79
5lyb,42
5lyb,69
5lyb,46
5lyb,51
5lyb,68
5lyb,77
5lyb,59
5lyb,74
5lyb,37
5lyb,19
5lyb,18
5lyb,7
5lyb,39
5lyb,23
5lyb,29
5lyb,22
5lyb,6
5lyb,5
5lyb,21
2j9v,1
5lyb,64
5lyb,78
5lyb,44
5lyb,47
5lyb,52
5lyb,73
5lyb,49
5lyb,75
5lyb,62
2od8,1
5lyb,88
1un0,1
5lyb,67
5lyb,70
5lyb,66
5lyb,43
5lyb,58
5lyb,71
5lyb,50
5lyb,55
117e,1
1zzd,1
5lyb,32
5lyb,28
5lyb,13
5lyb,27
5lyb,9
5lyb,34
5lyb,35
5lyb,17
5lyb,12
5lyb,14
5lyb,89
5lyb,87
5lyb,25
5lyb,24
5lyb,16
5lyb,26
2wat,1
5lyb,15
5lyb,20
1un0,2
2nvx,8
2nvx,12
2nvx,13
2nvx,7
2nvx,6
2nvx,9
2nvx,5
1kos,1
2wpd,6
5afr,1
1y1w,8
1y1w,10
1y1w,14
1y1w,13
1y1w,7
1y1w,5
1y1w,9
1ney,1
6fyy,3
2ju0,2
1z1v,1
1nyn,1
2wpd,3
2wpd,4
5i8q,3
5i8q,2
2wpd,5
2wpd,1
2km4,1
1k3n,1
4ux3,1
1h1j,1
5frr,1
5lyb,40
5lyb,8
5lyb,11
5lyb,3
5lyb,30
5lyb,41
5lyb,10
5lyb,33
5lyb,36
1lu3,1
1k9z,1
5wpm,2
2npi,2
4cr4,33
5lyb,84
5lyb,85
3ibh,1
3zdm,2
3zdm,1
3to6,1
1j4k,1
6ez0,1
1tve,1
5t62,3
5t62,4
5nif,15
1g16,1
6p28,1
4v1o,9
4v1o,8
4v1o,7
4v1o,5
4wnn,3
3g9h,1
5ctc,1
6rqt,4
5lsl,1
1k61,3
4v1o,23
1a3w,1
4v1o,10
4v1o,6
4v1o,11
2qsg,4
4v1o,3
4v1o,2
4v1o,1
5lvf,2
3oer,1
2qsg,3
4v1o,4
1els,1
4v1o,25
4v1o,18
4v1o,26
4v1o,24
3nih,1
6rqt,17
6rqt,15
1lxj,1
4j77,2
3dy3,12
3dy3,14
1s6v,1
1qvv,1
1w5g,1
4e4e,1
3gtg,7
3gtg,9
3gtg,5
3gtg,3
3gtg,10
3gtg,8
3gtg,6
3gtg,2
3gtg,4
1fzy,1
5jut,55
1sq9,1
2g80,1
5jut,74
6fyx,3
1u2a,1
2e92,1
5jut,75
1uo2,1
5jut,56
3i62,1
6rqt,13
6rqt,11
1fq6,1
4eo5,1
5lmg,1
5jut,59
6rqt,8
6rqt,12
6rqt,9
3hoy,7
3hoy,12
1zfd,1
3m2g,1
5jut,82
2qj0,1
5lmg,2
5jut,65
5jut,60
5jut,63
6rqt,7
5hog,2
5hog,1
1kq5,1
1amw,1
1cmq,1
1kkx,1
1gy7,1
2dy8,1
2k0a,1
1z2g,1
1fes,1
6cay,1
6rqt,14
6rqt,16
5uwt,4
5uwt,3
1zx2,1
2zih,1
3gtg,1
6rqt,10
2b22,1
1hqo,1
3ohb,1
3dy3,8
3dy3,2
3dy3,7
2e91,1
3dy3,11
3dy3,9
3dy3,13
3dy3,10
5g35,1
1s6v,2
4db2,1
3dy3,5
3dy3,4
3dy3,1
3dy3,3
3dy3,6
3h0q,1
3gtl,2
3g3t,1
6f07,2
2jky,1
3gtl,1
3gtl,3
1bgq,1
1re0,2
3f3f,1
6f07,1
3gtl,9
3gtl,4
3gtl,8
3gtl,5
3gtl,10
3f3f,2
1xe7,1
2f16,2
6rqt,5
6rqt,6
2hzm,1
2hzm,2
4v1o,21
4v1o,22
4v1o,15
4v1o,19
5lsl,2
5t62,45
2k8q,1
1fhr,1
2jvb,1
2lu0,1
5o6d,2
1qsn,2
2jxr,1
1uo5,1
4v1o,12
4v1o,13
6fe8,3
2pcb,1
2cay,1
1l8x,1
1zpu,1
2rkk,1
1gky,1
3pgk,1
2kq7,1
3erg,1
1cc7,1
6o6c,13
6o6c,6
6o6c,7
6o6c,10
6o6c,8
6o6c,4
6o6c,2
2elj,1
2was,1
2was,2
2pff,2
2pff,1
3i5y,1
1fcb,1
2km8,3
2hv4,1
2osq,1
6o6c,1
2m88,1
1fpw,1
1u5t,1
2b6g,2
2jqi,1
1csw,1
6g03,1
5a1y,1
2vw5,1
3a36,1
2jyn,1
1g3g,1
1o6o,2
4asw,2
4asw,1
4a3b,14
4a3b,4
3dom,2
2fh0,1
2m1v,1
5m9d,2
4a3b,9
4a3b,11
4a3b,12
4a3b,5
4a3b,1
4a3b,2
1u97,1
2l0i,2
2l0i,1
5tgc,3
5tgc,1
2b26,1
3gtk,6
3gtk,4
4uuy,1
1uhm,1
3gtk,8
3gtk,3
3gtk,7
3gtk,2
5n5z,2
1qhf,1
5apv,1
2e2z,1
5t6r,1
1uqv,1
2ax5,1
3o6b,1
3j78,24
3j78,17
3j78,34
3j78,25
3j78,31
3j78,29
3j78,28
3j78,23
3j78,27
3j78,20
3j78,38
3j78,37
3j78,18
3j78,16
2rnz,1
3j78,36
3j78,35
3j78,26
3j78,33
3j78,30
3j78,22
3j78,32
3j78,21
3j78,19
4c3i,12
4c3i,13
4c3i,6
4c3i,2
4c3i,10
4c3i,7
3j78,39
4c3i,11
1qcw,1
2lbw,1
4c3i,5
4c3i,3
4c3i,14
4c3i,8
4c3i,1
4c3i,9
3o6b,2
4zke,1
2jt4,1
2jt4,2
2ggp,1
1w2w,2
2ga8,1
1k3q,1
5m2n,1
1u5t,2
1w2w,1
1w5h,1
3erf,1
1zc1,1
2cge,1
2qsh,3
4cr2,17
6o6c,5
6o6c,12
6o6c,9
6o6c,11
6o6c,3
4cr2,32
2xh7,1
1jo8,1
4cr2,14
4cr2,15
4cr2,12
4cr2,4
4cr2,11
4cr2,13
4cr2,18
4cr2,8
4cr2,5
4cr2,3
6hv8,1
4cr2,9
6hv8,2
4cr2,6
4cr2,2
1cie,1
4cr2,16
2k3b,1
5w94,1
2es6,1
4c3i,4
2wpz,1
5iir,1
5t6r,3
5t6r,2
2c5i,1
4cr2,28
4cr2,23
4cr2,33
4cr2,27
4cr2,24
4cr2,29
2mow,1
4cr2,19
2ayu,1
1u2r,1
2aht,1
2c5i,2
1n9r,1
5n5z,13
5n5z,6
5n5z,18
5n5z,4
5n5z,15
5n5z,5
5n5z,17
5n5z,3
4cyk,1
5n5z,1
1aoo,1
2v0p,1
2kit,1
1ds4,1
2m2i,1
5iig,1
1gcb,1
3idw,1
5ip9,13
5ip9,9
5ip9,10
5ip9,7
5ip9,6
5ip9,11
5ip9,4
5ip9,12
5ip9,5
3zia,3
3zia,1
3zia,4
5l2l,2
4a3m,13
4a3m,14
4a3m,15
4a3m,7
4a3m,5
4a3m,6
4a3m,3
1ssh,1
5fmf,22
5ip9,8
5ip9,2
3zia,5
1q46,1
4a3m,11
4a3m,4
4a3m,10
4a3m,12
4a3m,8
4a3m,9
4a3m,1
4a3m,2
5fmf,14
5fmf,17
5fmf,23
5fmf,19
5fmf,21
5fmf,10
5ip9,3
3zia,6
3zia,2
3gpj,10
3gpj,2
2osr,1
6r84,20
6r84,6
3fp4,1
2ckz,2
3j78,4
3j78,2
3j78,13
3j78,9
3j78,10
1jih,1
6r84,23
6r84,28
6r84,4
6r84,17
6r84,18
6r84,21
6r84,8
6r84,10
6r84,16
6r84,7
6r84,12
6r84,25
6r84,27
6r84,5
6r84,22
5iiv,1
1ty8,1
6r84,15
6r84,14
6r84,9
2fcd,1
3j78,15
3j78,8
4a3c,1
5vh9,2
3j78,5
3j78,14
5vh9,1
4a3c,15
4a3c,13
3j78,6
3j78,1
3j78,3
3j78,12
1cmp,1
4a3b,13
4a3b,10
4a3b,7
4a3b,15
4a3b,8
4a3b,6
4a3b,3
6r84,39
6r84,44
6r84,30
6r84,32
6r84,33
6r84,41
6r84,45
6r84,35
6r84,48
6r84,29
3nzj,14
3nzj,8
3gyo,1
4a3k,3
1y1y,10
1y1y,11
3gpt,2
3gpt,6
3j78,40
3j78,45
3j78,42
3j78,56
3j78,77
3j78,41
3j78,44
3j78,48
1y1y,14
1y1y,4
3nzj,7
3nzj,1
3nzj,9
3nzj,4
3nzj,2
3nzj,10
5uww,2
4a3k,1
1mn3,1
5jm9,1
4a3k,12
3fky,1
4a3k,2
4a3k,4
3nzj,13
3nzj,11
3nzj,3
3nzj,6
4a3k,8
4a3k,5
4a3k,11
4a3k,10
4a3k,9
1y1y,15
1y1y,13
1y1y,7
1y1y,5
1y1y,6
1y1y,3
1y1y,12
3gpt,7
3gpt,1
3gpt,10
3gpt,5
1ee5,1
5uww,3
4a6k,1
3gpt,14
1yp5,1
1n2d,1
3gpt,12
3j78,81
3j78,78
1qu5,1
2l4e,1
3qy2,1
3fss,1
3pgm,1
1i45,1
2l9q,1
1eq6,1
5lqw,23
5lqw,15
5lqw,20
5lqw,21
5lqw,22
4c93,1
3oeq,1
1k83,9
1k83,1
1tg0,1
4c93,2
1k83,10
1k83,5
1k83,3
1k83,8
1k83,6
1k83,7
1k83,4
3psj,1
1k83,2
2ghp,1
1r5m,1
1y1y,9
1y1y,8
3gpt,11
3gpt,8
3gpt,3
3gpt,9
3gpt,4
6em4,30
3nfh,1
1i50,5
1i50,7
1i50,10
6gsa,1
2e7s,1
6r86,27
6r86,17
6r86,40
6r86,20
6r86,42
6r86,26
6r86,34
3mc6,2
3mc6,1
2pm7,2
2pm7,1
1i50,6
3j78,67
3j78,65
3j78,47
3j78,54
3j78,52
3j78,63
3j78,51
1pu9,2
1kyq,1
6r84,26
6r84,11
6r84,24
6r84,19
6r84,13
6r84,3
4a3c,9
4a3c,3
4a3c,10
4a3c,5
4a3c,7
6dtv,1
4a3c,4
4a3c,11
2hsn,1
2hsn,2
6hh0,1
4a3c,2
2ckz,1
3j78,11
3j78,7
3j78,80
3m63,2
3m63,1
5wbw,1
3j78,79
3j78,83
4a3c,6
4a3c,12
4a3c,14
4a3c,8
6n7r,17
6r84,49
1q0v,1
6hv9,13
6hv9,8
6hv9,12
6hv9,14
6hv9,15
6hv9,2
6hv9,6
6hv9,5
6hv9,4
2pko,1
6hv9,7
6hv9,11
6hv9,10
6hv9,3
6hv9,9
5hoi,2
5hoi,1
5lqw,13
2jqr,1
3b7q,1
6hv9,16
1csx,1
3j78,73
3j78,71
3j78,75
3j78,62
3j78,64
3j78,69
3j78,72
3j78,61
3j78,59
3j78,60
3j78,50
3j78,58
3j78,46
3j78,55
3j78,43
1sdq,1
3j78,57
2wwa,15
2wwa,3
2wwa,14
2wwa,13
3j78,76
3j78,74
3j78,66
3j78,68
3j78,53
3j78,49
3j78,70
3zn8,5
6r84,2
6r84,1
6r84,43
6r84,47
6r84,46
6r84,42
6r84,38
6r84,34
6r84,36
6r84,31
6r84,40
6r84,37
3lj2,1
6fyy,42
6fyy,38
5apy,1
5g5l,2
2uy4,1
3fze,1
4v81,8
4v81,4
3q35,1
1cci,1
4v81,5
3c2f,1
5eii,3
2xpz,1
4v81,3
4v81,6
4c31,1
2b7e,1
1w1w,1
1w1w,2
1pyp,1
4c31,3
4c31,2
6g84,2
2euu,1
2cnv,1
2kfj,1
6fyy,1
1ypp,1
6nd1,3
6nd1,4
2odx,1
6g84,3
3c66,1
1q1n,1
1aee,1
2aqa,1
3cph,2
3j9u,9
3j9u,3
3j9u,4
3j9u,6
3j9u,1
3j9u,11
3j9u,5
1hs7,1
3er0,1
5g2e,1
3mil,1
3gdm,1
1a1d,1
6qg5,3
2qlv,1
1sfo,10
1sfo,11
1sfo,4
1sfo,6
2qlv,3
2qlv,2
3g3q,1
1yeb,1
5y58,3
1aet,1
5uie,1
5uie,2
5uie,3
6hfm,1
2j8a,1
4inr,10
4inr,11
1kmd,1
1bep,1
5m9z,1
2w63,1
1lmv,2
1lmv,1
6qg5,5
4uqt,1
6qg5,6
6qg5,8
6qg5,7
2u2a,1
2er8,2
2uy5,1
1z6l,1
1zbx,2
2gw1,1
4uqt,2
2n7m,1
1t4l,2
1zbx,1
2jqj,1
1cn7,1
1zyd,1
2zpn,1
3j9u,7
3j9u,10
3j9u,2
3j9u,8
4inr,6
4inr,9
4inr,13
5ar1,1
1dsg,1
6qg5,2
6qg5,1
2jqq,1
2kbf,1
1sfo,3
1r6x,1
3mn3,1
4inr,14
4inr,7
4inr,12
4inr,8
3b82,1
1sfo,12
1sfo,9
1sfo,5
1sfo,7
2gcl,1
1vfy,1
3b2e,1
3bts,1
1ex6,1
3kt4,1
2hkp,1
6qg5,4
1sfo,8
4v81,1
3ool,1
2eur,1
2hsy,1
1va7,1
3q35,2
3o2u,1
3gpw,6
3gpw,8
3gpw,14
3gpw,13
3gpw,3
3gpw,5
2eke,2
1jsc,1
2eke,1
3gpw,4
3gpw,10
5fj8,9
4gmx,3
4gmx,2
5fj8,5
5fj8,6
5fj8,15
5fj8,12
5fj8,13
5fj8,3
5fj8,7
3m4o,1
5fj8,14
5fj8,17
5fj8,16
5fj8,11
5fj8,4
1xe8,1
1nlt,1
3gpw,12
3gpw,9
3gpw,7
3gpw,11
2yma,1
4d4o,1
4c2m,2
4c2m,8
4c2m,10
4c2m,4
4c2m,14
4c2m,6
5fyw,12
5fyw,7
5fyw,13
5fyw,8
5fyw,19
5fyw,6
4v7f,34
4v7f,31
4by1,9
5fyw,11
5fyw,10
4v7f,33
1dpj,2
1dpj,1
1pgy,1
4c2m,5
4c2m,7
5fyw,3
2tra,1
4c2m,11
4c2m,13
4c2m,3
5fyw,1
4by1,12
4by1,6
4by1,16
4by1,2
4by1,7
4by1,8
4by1,11
4by1,5
5fyw,15
4c2m,1
2bre,1
4v7f,1
4v7f,3
3f1w,1
3oak,1
3oak,2
4v7f,2
4v7f,5
4v7f,4
5jut,14
5jut,17
5jut,15
5jut,11
5jut,16
4bh6,1
4bh6,2
5jut,18
2b8k,2
2b8k,1
4c2m,9
4c2m,12
5fyw,4
5fyw,2
3c1r,1
1bm8,1
5jut,3
3hoz,6
3hoz,3
3hoz,7
3hoz,10
3hoz,8
3hoz,4
3hoz,5
3hoz,12
3hoz,1
4tyy,1
5jut,4
5jut,2
5jut,6
4v7f,47
1u9h,1
5fjx,1
5fjx,2
2ps1,1
3oiq,1
1w7p,1
3oq4,1
1w7p,3
4bj6,3
6em5,55
3h0x,1
4bj6,1
4bj6,2
5jut,7
3zs8,2
3zs8,1
3bx3,2
5jut,8
2z4x,1
3nsu,1
3ck4,2
5fja,6
5fja,8
5fja,1
5fih,1
5fja,5
5fja,7
5k2e,1
1ohl,1
1ebe,1
3m4o,9
3m4o,6
3m4o,10
3m4o,7
3m4o,4
3m4o,5
3m4o,8
3onj,1
3m4o,3
6hft,1
1aev,1
1cca,1
2f6h,1
1asy,2
5fja,3
5fja,4
5fja,2
5jut,24
5jut,19
5jut,20
5jut,22
5jut,21
4v7f,36
4v7f,37
2vdu,2
5fja,16
2pjw,1
5a1x,1
2ip1,1
5fja,14
6h08,1
5jut,9
5jut,23
4v7f,41
4v7f,40
4v7f,39
4v7f,38
1jdr,1
3k49,1
3hoy,8
3hoy,3
3hoy,2
3hoy,11
3hoy,9
3hoy,4
3hoy,6
3hoy,1
7ccp,1
3hoy,10
5nzu,5
3hoy,5
3hye,3
3hye,2
3hye,1
4b2q,3
4b2q,2
3hye,6
3hye,11
3hye,9
4b2q,4
4b2q,6
4b2q,5
2lps,1
2hsm,2
2hsm,1
1id3,5
1id3,4
4b2q,1
1id3,2
1id3,3
5gak,40
5gak,41
3axh,1
3c9d,1
3psp,1
1iid,1
1huj,1
2qlt,1
1cfy,1
2i3t,2
1ukv,1
3cue,3
5iok,2
5cte,1
3cue,1
3cue,5
2a19,1
2i3t,1
2bku,2
4gfb,3
4gfb,2
4csm,1
4b2z,1
2cep,1
1beq,1
2e90,1
3gpw,1
5ahj,9
5ahj,5
3qt1,3
2p8w,1
2hap,1
5ahj,3
5ahj,1
5ahj,12
5ahj,4
5ahj,13
5ahj,10
4cr4,31
4cr4,30
4cr4,32
4cr4,21
4cr4,27
4cr4,18
5ahj,14
2hap,3
2veq,1
1apl,3
5m5w,15
1wg3,1
1p1h,1
3o3c,1
5m5w,16
3cue,2
3cue,4
1ukv,2
2r0s,1
6q8y,57
4nfg,1
5gak,23
5gak,24
6q8y,50
6q8y,47
6q8y,41
6q8y,28
1le8,4
6q8y,54
6q8y,23
6q8y,38
6q8y,49
6q8y,27
6q8y,29
6q8y,35
6q8y,40
6q8y,52
6q8y,44
6q8y,46
6q8y,31
6q8y,18
5gak,12
5gak,7
3e47,14
3e47,13
3e47,12
3e47,8
3e47,4
3e47,10
3e47,3
5gak,9
5gak,17
5gak,13
3pt1,1
3j16,2
3j16,6
3e47,6
2orl,1
4a3d,13
4a3d,15
4a3d,6
4a3d,8
5jut,54
5jut,57
5jut,58
5m5y,1
5w4u,11
3ggy,1
4a3d,14
4a3d,11
4a3d,12
4a3d,7
5w4u,12
5w4u,13
2hrk,2
3jc6,8
2xau,1
3jc6,10
3jc6,9
2hrk,1
3jc6,7
1ixv,1
4cr2,31
4cr2,22
3afo,1
4cr2,25
4cr2,26
4cr2,20
4cr2,30
4cr2,21
4pdp,1
1j4p,1
2c5z,1
1aqq,1
5tgc,2
3c6b,1
1r5t,1
2e8v,1
2km8,2
3bit,1
1syz,1
3dom,1
1f54,1
4fol,1
2ocy,1
2ocy,2
1st7,1
1w5k,1
4u4n,38
1i4w,1
6hv9,1
3c2e,1
1u96,1
2iwu,1
3gpj,11
3gpj,13
3gpj,12
3gpj,9
3zzf,1
3gpj,1
3d29,13
3d29,5
3gpj,7
3d29,7
3d29,4
3gpj,4
3d29,10
3d29,6
3d29,2
2lkr,1
3eie,1
5lqw,10
1pqs,1
2oe3,1
5lqw,9
