pdb_id,entity_id
2z4w,1
2ju0,1
1sg3,1
2wpd,2
3blv,1
3blv,2
1y1w,11
1y1w,4
1ac4,1
1sz1,1
3s1r,3
3s1r,2
2erg,2
3j77,79
3j77,78
3j77,82
3j77,81
3j77,80
5juo,82
5o8w,2
5o8w,1
1z56,8
1z56,9
1z56,6
1z56,2
3j77,42
3j77,48
3j77,65
3j77,43
3j77,52
3j77,45
3j77,41
3j77,54
3j77,69
3j77,55
3j77,56
3j77,66
3j77,57
3j77,44
3j77,71
3j77,68
3j77,49
3j77,63
3j77,50
3j77,47
3j77,60
3j77,58
3j77,51
3j77,53
3j77,61
3j77,59
3j77,74
3j77,64
3j77,62
3j77,73
3j77,46
1z56,7
1z56,3
1z56,5
3j77,76
3s1m,3
3s1m,4
2r92,14
2r92,11
2r92,9
2r92,12
2r92,5
2r92,10
1b4t,1
1f7v,1
1f7v,2
3w6x,1
2r92,13
2r92,7
2r92,3
5fz5,7
5fz5,19
3to9,1
1dcc,1
1zii,1
5fz5,22
1zm2,1
3mnm,1
5fz5,12
1lwt,3
5fz5,6
5fz5,13
5fz5,8
5fz5,5
5fz5,3
5fz5,2
1nm7,1
2kwy,1
3gdk,1
1fvq,1
2xnq,1
3osm,1
4ux3,2
1k39,1
1y1w,12
1y1w,15
1y1w,6
2r25,1
1wg0,1
3cph,1
2ixp,1
3ong,1
3ong,2
6fyy,47
6fyy,45
2r25,2
6fyy,43
6fyy,44
6fyy,46
3mg4,3
3mg4,12
3mg4,5
3mg4,2
3mg4,13
2kdi,1
5ip7,2
1fd8,1
1szf,1
1z53,1
3s1n,8
3s1n,6
3s1n,9
3s1n,3
3s1n,10
3s1n,2
3s1n,7
3s1n,4
3s1n,5
3s1n,1
3mg4,9
3mg4,10
3mg4,14
3mg4,11
3mg4,8
3mg4,6
3mg4,1
3mg4,4
3mg4,7
2wp8,1
2wp8,3
2wp8,2
1qsp,1
3fpz,1
2cvy,1
5hci,1
4lxj,1
4d4p,1
5nzs,5
3s1r,6
3s1r,7
3s1r,8
3s1r,10
3s1r,9
3s1r,5
3s1r,4
3s1r,1
1p1k,1
2h0r,1
1ky3,1
3jc5,3
1yzn,1
3jc5,4
3jc5,10
3jc5,6
3j77,2
4haw,3
4haw,2
3d6i,1
3j77,36
3j77,35
3j77,23
5lcm,3
3j77,30
5lcm,2
3j77,22
3j77,10
3j77,32
3j77,24
3j77,18
3j77,17
3j77,21
5ahv,2
3jc5,2
3bi5,1
6o7w,11
3j77,20
3j77,19
3jc5,11
3jc5,8
3jc5,5
3jc5,9
3jc5,7
1ebf,1
3j77,1
3s1m,10
3s1m,8
3s1m,9
3s1m,6
3s1m,2
3s1m,7
3s1m,1
2agk,1
3s1m,5
1yaa,1
5hcn,1
3jc5,1
2evf,3
2x7n,1
2x7n,4
2x7n,2
1f1g,1
5fz5,4
5fz5,17
5fz5,10
5fz5,15
5fz5,1
5juo,81
5juo,80
1jhs,1
6o7w,10
1ig0,1
1bes,1
5juo,78
5juo,79
2e8x,1
3eih,1
4bl0,2
6o3w,1
1p3q,1
2x7n,3
4bl0,1
4bl0,3
6sh4,1
6o3w,2
2z4y,1
1e9g,1
3t7f,1
5ip7,6
5ip7,13
4j81,1
5ip7,5
5ip7,7
5ip7,8
5ip7,10
5ip7,11
3m2a,1
1jbb,1
5ip7,4
5ip7,9
5ip7,1
4v81,7
4v81,2
1s4n,1
4f2h,1
2ja9,1
3b8h,1
3g3u,1
5ip7,3
2ere,2
3j77,15
3j77,39
3j77,5
3j77,3
3j77,37
3j77,16
3j77,7
3j77,33
3j77,27
3j77,13
3j77,26
3j77,38
3j77,34
3j77,40
3j77,29
3j77,25
3j77,9
3j77,31
3j77,4
3j77,12
3j77,11
3j77,14
3j77,6
3j77,8
5ahv,1
3j77,28
1z56,4
1z56,1
3j77,67
3j77,75
3j77,70
3j77,72
3j77,77
4c9q,1
3d29,12
3d29,8
3d29,1
1uyv,1
5lm5,2
4h65,1
5lm5,1
2g77,1
5fmf,15
3exb,1
5fmf,20
5fmf,9
5fmf,13
2jkz,1
1yfg,1
2ik7,1
1ex7,1
5ip9,1
5fmf,16
5fmf,26
5fmf,25
5fmf,12
5fmf,11
4c0h,1
5fmf,18
5fmf,27
5fmf,24
6r86,48
6r86,45
1q7g,1
6r86,46
5lqw,7
5lqw,2
5lqw,8
5lqw,3
1otr,1
1otr,2
6f9a,1
5lqw,6
5lqw,1
5lqw,12
5lqw,4
3els,1
1s4u,1
1i50,3
5lqw,24
5lqw,17
5lqw,19
5lqw,16
5lqw,18
4asv,1
2lbx,1
5lqw,30
2a0t,1
2l3t,1
1i50,2
1i50,1
3ga4,1
5lqw,27
5lqw,5
2aiv,1
5lqw,29
5lqw,26
5lqw,28
5lqw,25
5lqw,14
3t7e,1
5lqw,31
1vlu,1
5l6i,2
4c0h,2
5g32,1
5u8t,12
2vsx,1
1i50,9
1i50,8
1i50,4
1nmu,2
1y8m,1
5jut,25
5jut,32
5jut,35
5jut,27
5jut,26
2b5e,1
1q0w,2
1f55,1
2lbs,2
1dqw,1
2grg,1
2m1u,1
2jps,1
3oip,1
1d8b,1
3fp3,1
6fyx,1
5jut,68
1chj,1
1j4o,1
5jut,69
5jut,66
1m7u,1
4j82,1
5jut,72
4ady,1
2fv4,1
2kvi,1
4uzw,1
2fv4,2
6c4u,1
5jut,70
5jut,67
5jut,71
5jut,73
4uzx,1
4a3d,5
4a3d,9
1iou,1
1lpw,2
5m4a,1
1z45,1
1lpw,1
4a3d,3
2jwz,1
1lms,1
1l2n,1
5o1t,1
5m5y,17
5m5y,4
5m5y,14
5m5y,13
5m5y,12
