Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	83.13230682909489	325282.1361930043	1.1499182591273154	1.1446817706105568	1.4465321836774216	1.4603036733907748	0.061520040613601945	0.05486402094878684
2	171.27139690704644	313230.6856233019	1.141173755639996	1.1386053304486419	1.4380013894972397	1.4463232610584027	0.07255660404738296	0.07287416617577669
3	259.28820463083684	309134.7333646788	1.1443308233744134	1.1404910170239126	1.4372592548557286	1.4439709701041885	0.07351364104163827	0.07588745690362209
4	341.5782883958891	308054.41096290003	1.1259871498185199	1.1229247343511866	1.4255818535977423	1.4351343030805381	0.08850745956601591	0.08716342857644388
5	422.1961394310929	303717.1234830644	1.1156528039022726	1.1108720189766943	1.4239128102927754	1.4311465903356515	0.09064052537654133	0.0922292579246985
6	501.49831171613187	302520.02155626623	1.1301177107969154	1.123636898528581	1.4253649398755828	1.4324902859249877	0.08878482027622236	0.0905238558827508
7	588.6302524828352	299392.20186163194	1.124839850282897	1.1191273022834083	1.424985111250414	1.4313592355449907	0.08927039345748067	0.09195947781750236
8	675.6291915187612	297361.1597426321	1.1112843808790378	1.098827132451124	1.4205712821186702	1.421281479552314	0.09490354604528461	0.1047009278665566
9	756.144464909099	295053.26991243236	1.1069777042044966	1.1037551768407206	1.4126171659799036	1.4190736678708813	0.10501087014479371	0.10748027385491943
10	831.3614217811264	290102.4617407624	1.1039631846665385	1.088091856193965	1.4093695687787477	1.409328716127297	0.10912128757069317	0.11969626834485803
11	906.6155489287339	287458.13372232113	1.0976162675139902	1.0892634928259497	1.400141304692784	1.4079364838735922	0.1207496760778971	0.12143465893376648
12	981.8441923917271	286461.512938344	1.088866319220217	1.0833997619715845	1.3916769767700632	1.3998268070781401	0.1313482742962403	0.13152653662633462
13	1057.1214952617884	285984.60963451106	1.0922870579796482	1.0809377928805997	1.394405633879219	1.4003468609298637	0.12793860894973885	0.13088111840039818
14	1132.3355811601505	284060.40143084736	1.0926364948929026	1.080365594289211	1.3918849681926893	1.3971483570752279	0.1310886082785092	0.13484685779903316
15	1207.6336067970842	283011.4581625547	1.0948864617748684	1.0836084020159007	1.3937958258728453	1.4032823647444252	0.12870119011398884	0.1272334851303566
16	1282.8460160489194	282875.2911075582	1.094551896939266	1.0833650342447645	1.3887970717633427	1.393691005789778	0.13493969110150972	0.1391233362589096
17	1358.126321685966	281619.0026893333	1.1061545601814	1.0983958403485472	1.3977545336209818	1.406776072187385	0.12374477457662825	0.1228822773016256
18	1433.239341340959	281330.0720841766	1.0867869458603352	1.0757294920647151	1.3865813467276065	1.3933997393904918	0.13769777119297977	0.1394831265475639
19	1508.4613730250858	280362.25376517244	1.0897497810788108	1.0839132951206125	1.3865883669956793	1.3960220299617123	0.13768903949015554	0.13624120172293763
20	1583.631903714966	276972.7905513188	1.0782874705197758	1.0751963583252437	1.381098627182178	1.394198809892692	0.14450359504087684	0.13849588535169777
21	1658.8438124279492	276261.5380215113	1.0775462473672222	1.0666345362219192	1.3835424306839472	1.3892548774228002	0.14147337728998577	0.14459496732379673
22	1733.9089047010057	276025.2360488778	1.0797840019731242	1.0750180058887535	1.3812528932420227	1.3940107648576023	0.14431246976186907	0.1387282634676379
23	1809.2364579541609	275685.32267058553	1.0765516350299864	1.0701888626587819	1.3810540847735857	1.3903973508522922	0.14455877611945345	0.14318747993443126
24	1884.382723967079	274838.0552687716	1.0733339745300299	1.0706056983811085	1.380806250829923	1.3933875756857035	0.1448657711195347	0.13949815027296286
25	1959.7308274349198	274627.5853286743	1.075764047624621	1.0747969677962128	1.3766989868915833	1.3891020204903153	0.1499454675593277	0.14478319397409545
26	2034.7537514637224	274363.52906516485	1.0730616465836011	1.069932837035287	1.3783775731553602	1.3872185007303244	0.14787128901079427	0.14710084329649376
27	2109.946468495764	274153.3185283596	1.071583678777627	1.0752622449704685	1.378883212334179	1.3946151701422098	0.1472459905447997	0.13798125339868683
28	2185.1222140081227	273480.83441465325	1.0759761913095518	1.074280426878471	1.3780482560623835	1.3888338939191736	0.14827841552384124	0.14511331259154925
29	2260.205501280725	273145.60016324825	1.0685747378871644	1.0730788005219418	1.3764319483670053	1.3900922376769493	0.15027520600609445	0.1435634819522298
30	2335.450613955967	271381.7303941735	1.069220655628647	1.07102376233721	1.3730742218071463	1.3898052693179295	0.15441585890653275	0.14391704815069006
31	2410.7548482399434	270810.1163458208	1.0692032693034628	1.067184982148718	1.3739977202526392	1.3879605263660364	0.1532780351330808	0.14618816472268092
32	2485.8521630000323	270895.17313560005	1.0694838997340257	1.069027595908912	1.3743384859950465	1.389367505164914	0.1528579913230872	0.14445626528394062
33	2561.375332279131	270268.0202239307	1.0674109040429807	1.067823868515009	1.369617738933976	1.3851370723276533	0.15866773151998004	0.14965835922886273
34	2636.6707192170434	270021.06617512245	1.0681587842940956	1.0685217941747613	1.3712049568958753	1.387130015497113	0.15671660104107588	0.14720964601763908
35	2711.847790819127	269949.2050956543	1.0680517933926201	1.0676222918790608	1.3703112707453442	1.3853868473994002	0.15781546682407732	0.14935165558403052
36	2787.006084100809	269748.97094014776	1.066532695175376	1.0691261564046546	1.3689856736788804	1.385741039764938	0.15944408564398616	0.14891664111180136
37	2862.0531369908713	269547.2712188682	1.0663756979531855	1.0678076442196185	1.3737946658052433	1.3847984623682326	0.15352828002630958	0.15007405664986673
38	2937.1043707360514	269492.0165942063	1.0704983761817128	1.070117698053566	1.3804717476589319	1.3902302778256135	0.1452800370073114	0.14339338029855353
39	3012.2643800680526	269106.7221843252	1.0705138938167518	1.07278442189113	1.3736624474167647	1.3910366936371747	0.15369120647196577	0.14239932703932534
40	3087.366952667013	268018.9072982842	1.063615831839127	1.0668015194382376	1.3685331741740159	1.3854162022923022	0.1599996623493295	0.14931560651131726
41	3162.7698328099214	267524.28094351763	1.0642633437182991	1.0686086150860328	1.366518836833858	1.3833698935237975	0.16247062735342443	0.15182673254912982
42	3235.258173629176	267260.45009040984	1.0647088207958437	1.0637751560047122	1.3693306290980516	1.3838787622459174	0.15902042766928992	0.15120262148264685
43	3307.030766955111	267178.54615275015	1.0611136248739366	1.0642416391973657	1.3650258658133718	1.3810555906754869	0.16429968962627028	0.15466225453109284
44	3378.46795244189	267007.68818355777	1.0617974956512461	1.065236979698454	1.3672066541078929	1.3827486826294046	0.16162729884308202	0.1525883165244809
45	3449.5291455918923	266774.6999571436	1.064965163196344	1.0688228691646346	1.3674722907926777	1.384257656393308	0.16130148975066672	0.15073777095661123
46	3522.6377748358063	266720.78391499695	1.0606167353483413	1.0651615361436748	1.3667874159891384	1.3825241648519007	0.16214137461164357	0.1528634837243612
47	3597.904321947135	266614.3121271698	1.0633631222827424	1.0661912741108466	1.3664246545207155	1.3829396620634995	0.16258607067296194	0.1523542184819443
