Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	79.13761891704053	322045.96408886265	1.162770360278178	1.1673697097755749	1.4869105754249097	1.503834659323147	0.008395469482779916	-0.002323979516642316
2	157.4234971338883	301623.22727563	1.111973120257242	1.1138938146992665	1.4152270822353006	1.427716227458984	0.10170069586578745	0.09657577430583053
3	235.6455023898743	295347.33057306515	1.1036968557844469	1.105813746342063	1.4023675678065726	1.4177933879712288	0.11795138886063306	0.10908999945822195
4	313.8862484549172	291326.0573231382	1.0900849717409957	1.1031296260385484	1.3967964457214301	1.4099911100420348	0.12494561747334199	0.11886857660682015
5	392.06378705007955	287012.7669312237	1.0811768932783394	1.083482688190197	1.3907476397299803	1.4016210800246438	0.1325080271653002	0.12929872227257289
6	470.1987339351326	284558.58778368763	1.1043952120231146	1.101596949956986	1.3994403351787175	1.411614780401877	0.1216298349454118	0.11683808052087441
7	548.270052978769	281325.0018020172	1.0913225435444318	1.1076866526526052	1.3997738456441007	1.4105892359307644	0.12121112391911215	0.11812085657381033
8	626.2664654869586	279662.2514405219	1.0659514867229631	1.072768714792016	1.3766423922324194	1.3888270944129593	0.15001535583286618	0.14512168334508546
9	704.3581330659799	277803.1938398471	1.0731209692131256	1.0761506515096646	1.3751083756975573	1.3825606761131883	0.1519086057167378	0.15281873885566977
10	782.3932073689066	272227.39194796624	1.067987850982509	1.0672607018501916	1.3779613440757605	1.3839318323359828	0.1483858464215606	0.15113751951233045
11	860.4764776080847	270235.6164836214	1.0636476395373502	1.0709440279713394	1.3731255312816368	1.3824092364848037	0.15435266161119698	0.1530043217252588
12	938.3613011841662	269571.8803013851	1.0607906415845796	1.064796398749975	1.3703866069470703	1.37378304871407	0.157722861984122	0.16354179195944907
13	1016.2797361537814	269261.82272586646	1.060026324739301	1.0588673381573284	1.3736736806335998	1.3760487636197467	0.15367736492147965	0.1607804554539608
14	1094.215146808885	268092.7698977108	1.0552010200948228	1.060000945805639	1.3641680437513952	1.369085932639805	0.1653497164815244	0.16925189961560805
15	1172.142993889749	267173.08857696614	1.0595849186837099	1.0562695375457725	1.371610968128162	1.3715636365363586	0.15621713782126911	0.16624228523830098
16	1250.0846662367694	266359.28857877146	1.0648441881200823	1.064495222385758	1.367126635369293	1.3712915554189373	0.16172543113736026	0.1665730423744981
17	1327.8390196948312	265704.8859949787	1.0638881655924513	1.0704981548812482	1.3643892047463915	1.3722163887130583	0.16507906500101632	0.16544849535520556
18	1405.4174547027797	264652.2011235858	1.0575802597291777	1.0595714060048347	1.3644595783737434	1.3699220160378687	0.1649929342549833	0.16823693516069094
19	1482.7823855988681	263866.8932934524	1.053935273597104	1.0650847196221505	1.3604710518340348	1.3735923702483197	0.16986750905076486	0.1637739734515007
20	1560.1042882781476	260166.05730286016	1.049257981828186	1.0576764317137415	1.360265444506487	1.3693755776270633	0.17011840512863718	0.16890035488008248
21	1632.9456302807666	259634.33510955216	1.0497586133149983	1.0560458197177274	1.3630252351390417	1.3721180704819163	0.16674755892876136	0.1655680809962763
22	1710.125948025845	259072.5831605193	1.049436229331611	1.0581867939148695	1.3586503084348964	1.3657591630261336	0.17208798532638647	0.17328429769483655
23	1787.639664073009	258555.69900738716	1.0457993305666873	1.0546783347314956	1.357646215719146	1.3675643131878217	0.17331124820309907	0.17109748137273129
24	1865.1226555970497	257786.4019224831	1.0485826594678513	1.0595625312860755	1.3608693746527414	1.37428440236127	0.16938134050029152	0.16293116003267338
25	1942.596243889071	257596.84159818396	1.0466493870832594	1.0548094127163483	1.3549474647538964	1.3644552831850232	0.1765945919863895	0.17486206252801495
26	2020.068142306991	256813.4835418891	1.0441202661768678	1.053224535602491	1.3554476805829712	1.364033915061331	0.17598651461365256	0.17537161845533356
27	2097.5105509399436	256686.5757903215	1.0458236316436254	1.0523396643568383	1.3551567711629822	1.3626775664703672	0.1763401801436637	0.17701076751193046
28	2174.996508669108	255908.19079912757	1.0454342714409322	1.0518421810591472	1.353679368155893	1.3607281433655416	0.17813512253800623	0.17936379171001504
29	2252.529948502779	255491.8604722811	1.0473635584067247	1.0561426989276816	1.3638924752440051	1.3686701890439117	0.1656868891678156	0.16975636139503647
30	2330.051869326737	253581.633904218	1.0439827413365015	1.0524443911802577	1.3533364415948765	1.3623678933738794	0.17855147459833987	0.17738477919545925
31	2407.52818625886	253012.65740523319	1.0423466663461851	1.0530528877173178	1.3536716125104564	1.363374819754056	0.17814453994433843	0.17616833968050605
32	2485.069172265008	252583.89694190104	1.0442442799102818	1.0542393412054736	1.3546734134711265	1.3663430147490696	0.17692764178158293	0.17257731718006575
33	2562.6496909819543	252465.06166851433	1.0456101221093965	1.0569796077279925	1.3519357564457983	1.361209797851066	0.1802509711786202	0.17878273065396333
34	2640.2783244089223	252223.89335776062	1.0441570285053325	1.0521977854528013	1.355726408712188	1.365830975541826	0.1756475869585884	0.17319735689770266
35	2717.9312376808375	252149.85131155685	1.0431533996837454	1.05324520611811	1.3522474042974908	1.3617232363047664	0.1798729909849225	0.178163099431476
36	2795.547829844989	251441.77890992153	1.0445882463588458	1.051604291492799	1.355011740385147	1.36260616555164	0.1765164691675044	0.1770970104343238
37	2873.3258955981582	251795.6520624861	1.0414568178100614	1.051522649864186	1.3516129111822794	1.360058581479921	0.18064244021139586	0.18017119992598796
38	2950.9627742078155	251234.82946760417	1.040927824249923	1.046979423701816	1.3499691758506047	1.3565833274042516	0.18263411699077448	0.18435553927192272
39	3028.492748252116	250965.50909795254	1.04225858696264	1.054412803564199	1.3498668462929853	1.361962728415881	0.18275802725580403	0.17787399404331194
40	3106.0874163168482	249793.81596939906	1.0419563667203777	1.0528766732812447	1.3509791150113362	1.361211902712644	0.18141068372806468	0.17878019092788067
